                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.18768,                0.85204,                0.94004,                0.54209,                0.73557,                0.62296,                0.55498,                0.42876,                 1.3148,                0.58004,              0.0009695,              0.0009695,              0.0009695
                     37,                0.18156,                 0.8428,                0.94914,                0.53324,                 0.5953,                0.55024,                0.51191,                0.41019,                 1.4532,                0.58935,             0.00096125,             0.00096125,             0.00096125
                     38,                0.16488,                0.83568,                0.94791,                0.58001,                0.66363,                0.57595,                0.50539,                0.40272,                 1.4355,                0.54204,               0.000953,               0.000953,               0.000953
                     39,                0.17083,                0.82734,                0.94674,                0.65345,                0.68289,                0.61359,                 0.5887,                 0.3057,                 1.3471,                0.47011,             0.00094475,             0.00094475,             0.00094475
                     40,                0.16061,                 0.7908,                0.93565,                0.61295,                0.66568,                0.69319,                0.59656,                0.40361,                  1.282,                0.60076,              0.0009365,              0.0009365,              0.0009365
                     41,                0.17053,                0.79821,                0.94561,                  0.535,                0.74899,                0.59207,                  0.563,                0.35385,                 1.2087,                0.50485,             0.00092825,             0.00092825,             0.00092825
                     42,                0.16622,                0.82505,                0.93077,                 0.5605,                0.66707,                0.56255,                0.48104,                 0.3352,                 1.5537,                0.55342,                0.00092,                0.00092,                0.00092
                     43,                0.15833,                0.82061,                0.92986,                 0.5359,                0.59976,                0.63648,                0.54789,                0.49574,                 1.3818,                0.69507,             0.00091175,             0.00091175,             0.00091175
                     44,                0.15707,                0.82073,                0.92996,                0.69659,                0.69312,                 0.7221,                 0.6933,                0.35744,                 1.2624,                0.52445,              0.0009035,              0.0009035,              0.0009035
                     45,                0.16546,                0.80139,                0.94919,                0.73009,                0.70126,                 0.7203,                0.71033,                0.28277,                 1.0967,                0.43303,             0.00089525,             0.00089525,             0.00089525
                     46,                0.16481,                0.76223,                0.93753,                0.65207,                0.75064,                0.65114,                0.62427,                  0.361,                 1.3009,                0.55453,               0.000887,               0.000887,               0.000887
                     47,                0.16034,                0.80916,                0.93524,                0.49726,                 0.5382,                0.48471,                 0.4148,                0.32211,                 1.8003,                 0.5206,             0.00087875,             0.00087875,             0.00087875
                     48,                0.14408,                0.77106,                0.92497,                0.59883,                0.65198,                0.63772,                 0.5895,                0.35133,                 1.2037,                0.52834,              0.0008705,              0.0008705,              0.0008705
                     49,                 0.1427,                0.74704,                0.92921,                0.41112,                0.63987,                0.52898,                0.50344,                0.33919,                  1.812,                0.48429,             0.00086225,             0.00086225,             0.00086225
                     50,                0.15243,                0.73674,                0.92693,                0.58718,                0.81635,                0.74465,                0.72571,                0.28717,                 1.2391,                0.41873,               0.000854,               0.000854,               0.000854
                     51,                0.13941,                0.73866,                 0.9268,                0.65972,                0.69466,                0.69727,                 0.6571,                0.32457,                 1.1349,                0.48209,             0.00084575,             0.00084575,             0.00084575
                     52,                0.15802,                0.76627,                 0.9256,                0.58169,                0.69394,                0.64095,                0.62234,                 0.3348,                  1.421,                0.52556,              0.0008375,              0.0008375,              0.0008375
                     53,                0.15359,                0.77514,                0.92516,                0.61018,                 0.7269,                0.64282,                0.60053,                0.31192,                 1.2509,                0.48989,             0.00082925,             0.00082925,             0.00082925
                     54,                0.14577,                0.70477,                0.92081,                0.52055,                  0.925,                0.70381,                0.68938,                0.29399,                 1.1089,                0.46071,               0.000821,               0.000821,               0.000821
                     55,                0.14942,                0.73724,                0.92268,                0.66579,                0.63374,                0.64881,                0.62783,                 0.2489,                 1.3614,                0.39943,             0.00081275,             0.00081275,             0.00081275
                     56,                0.14237,                0.72653,                0.92142,                 0.5737,                0.62677,                0.64932,                0.61941,                0.28985,                   1.36,                0.44406,              0.0008045,              0.0008045,              0.0008045
                     57,                0.13414,                 0.6636,                0.92116,                0.50067,                0.58397,                0.55543,                 0.5302,                0.32636,                 1.4162,                 0.4522,             0.00079625,             0.00079625,             0.00079625
                     58,                0.13498,                0.66943,                0.93009,                0.62211,                0.52959,                0.59607,                0.57648,                0.34133,                 1.2526,                0.47101,               0.000788,               0.000788,               0.000788
                     59,                  0.142,                0.67674,                0.92341,                0.58835,                0.60019,                0.61457,                0.60378,                0.25895,                 1.5724,                0.38156,             0.00077975,             0.00077975,             0.00077975
                     60,                0.14607,                0.69232,                0.93056,                0.56821,                0.64916,                0.59137,                0.51869,                0.44397,                 1.6186,                0.66353,              0.0007715,              0.0007715,              0.0007715
                     61,                0.14533,                0.66684,                0.92775,                0.48602,                0.69746,                0.61428,                 0.6034,                 0.3149,                 1.3544,                 0.4682,             0.00076325,             0.00076325,             0.00076325
                     62,                0.13164,                0.64491,                  0.911,                0.48015,                0.86315,                0.66116,                0.64729,                0.27363,                 1.3244,                0.44137,               0.000755,               0.000755,               0.000755
                     63,                0.14414,                0.64771,                0.93222,                0.56372,                0.70099,                0.65327,                0.60891,                0.27787,                  1.207,                0.44283,             0.00074675,             0.00074675,             0.00074675
                     64,                0.14543,                0.65358,                0.91847,                0.47383,                  0.773,                 0.6283,                0.57903,                0.29277,                 1.3414,                0.46068,              0.0007385,              0.0007385,              0.0007385
                     65,                0.14152,                0.67315,                0.92258,                0.42116,                0.70076,                0.52566,                0.51569,                0.28543,                 1.9492,                0.45378,             0.00073025,             0.00073025,             0.00073025
                     66,                0.13989,                0.67941,                0.92085,                0.52267,                0.69713,                0.61228,                0.59615,                 0.2646,                 1.3508,                0.40807,               0.000722,               0.000722,               0.000722
                     67,                0.12741,                0.63059,                0.91315,                 0.5905,                0.67206,                0.69215,                0.67302,                0.24354,                 1.1697,                0.38005,             0.00071375,             0.00071375,             0.00071375
                     68,                0.13403,                0.61946,                0.92812,                0.48737,                0.85259,                0.66886,                 0.6375,                0.27105,                 1.2425,                0.44684,              0.0007055,              0.0007055,              0.0007055
                     69,                0.13158,                0.65213,                 0.9215,                0.52716,                0.78312,                 0.6457,                0.61155,                0.30302,                 1.3843,                0.44593,             0.00069725,             0.00069725,             0.00069725
                     70,                0.13114,                0.62771,                0.92826,                0.60593,                0.60982,                0.67213,                0.65757,                0.22084,                 1.1897,                0.32552,               0.000689,               0.000689,               0.000689
                     71,                0.13855,                0.65948,                0.92391,                0.44656,                0.72857,                   0.61,                0.58347,                0.23697,                 1.7802,                0.35632,             0.00068075,             0.00068075,             0.00068075
                     72,                0.13158,                0.64897,                 0.9114,                0.63343,                0.65631,                0.61741,                 0.5717,                0.31144,                 1.4786,                0.43802,              0.0006725,              0.0006725,              0.0006725
                     73,                0.12333,                0.60423,                0.91769,                0.67731,                0.53828,                0.61531,                0.58723,                0.30793,                 1.5552,                0.45761,             0.00066425,             0.00066425,             0.00066425
                     74,                0.13714,                0.65547,                0.92205,                0.63034,                0.74473,                0.66094,                0.64683,                0.21683,                 1.6135,                0.33784,               0.000656,               0.000656,               0.000656
                     75,                0.12623,                0.59764,                0.92698,                0.53367,                0.75682,                0.62804,                0.58544,                0.34513,                 1.7259,                0.54452,             0.00064775,             0.00064775,             0.00064775
